aaaabbbb | aaaabbba 
cccbbbbaaaadc | cccbbbaaaaadc 
ccccbbbbdaaaa | ccccbbbadaaaa 
ccdbbbbdaaaac | ccdbbbadaaaac 
cdaaaadbbbbcd | cdaaaadbbbacd 
cdbbbbaaaaccd | cdbbbaaaaaccd 
cdbbbbcdaaaad | cdbbbacdaaaad 
cdbbbbdccaaaa | cdbbbadccaaaa 
daaaabbbbdddd | daaaabbbadddd 
daaaabbbbdddd | daaaabbbadddd 
dbbbbdcccaaaa | dbbbadcccaaaa 
aaaabbbbddcdcd | aaaabbbaddcdcd 
aaaadccdcbbbbc | aaaadccdcbbbac 
bbbbccccdcaaaa | bbbaccccdcaaaa 
bbbbddddaaaadd | bbbaddddaaaadd 
cbbbbccaaaaddc | cbbbaccaaaaddc 
ccaaaaddcbbbbd | ccaaaaddcbbbad 
cdbbbbcddaaaad | cdbbbacddaaaad 
cddaaaaccdbbbb | cddaaaaccdbbba 
daaaaccddcbbbb | daaaaccddcbbba 
dbbbbaaaaddddd | dbbbaaaaaddddd 
dcbbbbcdaaaacc | dcbbbacdaaaacc 
ddbbbbddcdaaaa | ddbbbaddcdaaaa 
aaaadcbbbbcddcc | aaaadcbbbacddcc 
bbbbcaaaaddddcc | bbbacaaaaddddcc 
caaaabbbbcccdcc | caaaabbbacccdcc 
caaaadcdbbbbcdd | caaaadcdbbbacdd 
caaaadddddbbbbd | caaaadddddbbbad 
ccaaaacddcdbbbb | ccaaaacddcdbbba 
cccaaaadcccbbbb | cccaaaadcccbbba 
cddaaaadccbbbbc | cddaaaadccbbbac 
bbbbdcaaaaddcdcc | bbbadcaaaaddcdcc 
cbbbbddaaaadccdc | cbbbaddaaaadccdc 
ccbbbbccaaaacddd | ccbbbaccaaaacddd 
ccdbbbbcdcaaaacd | ccdbbbacdcaaaacd 
cdaaaacdcbbbbddc | cdaaaacdcbbbaddc 
cdcbbbbcaaaaddcc | cdcbbbacaaaaddcc 
cdcdcaaaabbbbcdc | cdcdcaaaabbbacdc 
cddaaaabbbbddddc | cddaaaabbbaddddc 
daaaaccbbbbccdcc | daaaaccbbbaccdcc 
daaaaccccdccbbbb | daaaaccccdccbbba 
dbbbbddaaaacdddd | dbbbaddaaaacdddd 
dccdddcaaaacbbbb | dccdddcaaaacbbba 
dcdaaaadcccbbbbc | dcdaaaadcccbbbac 
bbbbaaaacdcddcccc | bbbaaaaacdcddcccc 
aaaaccdcddcccbbbbd | aaaaccdcddcccbbbad 
aaaadcdcccbbbbcddc | aaaadcdcccbbbacddc 
bbbbcdaaaacddddcdd | bbbacdaaaacddddcdd 
dbbbbddcdcdcaaaacd | dbbbaddcdcdcaaaacd 
aaaabbbbcddddcdcdcc | aaaabbbacddddcdcdcc 
bbbbccdcdcdcccaaaac | bbbaccdcdcdcccaaaac 
bbbbcdcdcccaaaaddcd | bbbacdcdcccaaaaddcd 
bbbbdcdccaaaaccdccd | bbbadcdccaaaaccdccd 
cbbbbcccdccaaaacdcd | cbbbacccdccaaaacdcd 
cbbbbdcdcccdaaaacdc | cbbbadcdcccdaaaacdc 
cdcbbbbcaaaacdccdcc | cdcbbbacaaaacdccdcc 
cbbbbccaaaadcdccdccd | cbbbaccaaaadcdccdccd 
dccaaaacbbbbcccddccc | dccaaaacbbbacccddccc 
caaaaddcdcddbbbbcccdd | caaaaddcdcddbbbacccdd 
dbbbbddcaaaacdccdcddd | dbbbaddcaaaacdccdcddd 
bbbbddddddcdcaaaacddcc | bbbaddddddcdcaaaacddcc 
dcdcbbbbdaaaacddddcccc | dcdcbbbadaaaacddddcccc 
ddcddaaaabbbbcdcdcdcdd | ddcddaaaabbbacdcdcdcdd 
ccdcdddcaaaaddddbbbbddc | ccdcdddcaaaaddddbbbaddc 
cdcbbbbdcdddcddcccdaaaacc | cdcbbbadcdddcddcccdaaaacc 
dcdddbbbbaaaadcddddcdddccc | dcdddbbbaaaaadcddddcdddccc 
aaaadcdccddddccdccbbbbdcdddc | aaaadcdccddddccdccbbbadcdddc 
