bababdadab | aababdadab 
ccabdbcbbacdaccca | ccaadbcbbacdaccca 
cdddcbabdabdbadac | cdddcaabdabdbadac 
dcadddbbbbaccccaa | dcadddabbbaccccaa 
dcbdbbacccaaabaad | dcadbbacccaaabaad 
aabacadadcbdbdcbac | aaaacadadcbdbdcbac 
acadaabbadcdbccdba | acadaaabadcdbccdba 
babdbbdcaddccdcaca | aabdbbdcaddccdcaca 
bacdcddabbdadbadaa | aacdcddabbdadbadaa 
bcacddccbbdabdccaa | acacddccbbdabdccaa 
bdcbaacbabcccaadca | adcbaacbabcccaadca 
cababdabdaaacdbcda | caaabdabdaaacdbcda 
cacbadcddcbbbccaca | cacaadcddcbbbccaca 
cbdaddaacaaaabdabb | cadaddaacaaaabdabb 
dbaddacdacbbabccdc | daaddacdacbbabccdc 
aabaacaabdabadbadca | aaaaacaabdabadbadca 
aabdcbbccadbcdcdadd | aaadcbbccadbcdcdadd 
abaabddadccdbdcdbac | aaaabddadccdbdcdbac 
abbbdbdcdadddaddaca | aabbdbdcdadddaddaca 
accbbbabdcaadaccdca | accabbabdcaadaccdca 
badabdcbbcccdddaadd | aadabdcbbcccdddaadd 
caaabbcbdccbcddccca | caaaabcbdccbcddccca 
ccabaabaaadbaabcdcc | ccaaaabaaadbaabcdcc 
cdadccbdcaaabacbadb | cdadccadcaaabacbadb 
dacdbcacabdbdccbdad | dacdacacabdbdccbdad 
dbbbdbaccacdacadcda | dabbdbaccacdacadcda 
dbbbdcddcdacabdaacd | dabbdcddcdacabdaacd 
acadccaadcbcbacbcddb | acadccaadcacbacbcddb 
acaddddbdbcaadcddbba | acaddddadbcaadcddbba 
badbcabdbcccadcaaadd | aadbcabdbcccadcaaadd 
bbbddbdacddccaacdacd | abbddbdacddccaacdacd 
caacdbbacdddbcacdcab | caacdabacdddbcacdcab 
cadabadcadcbacbccadb | cadaaadcadcbacbccadb 
cadbbbcbddcdaacddaad | cadabbcbddcdaacddaad 
cbbabcbaacdddcccdacc | cababcbaacdddcccdacc 
ccadacbbdbaaabcdccda | ccadacabdbaaabcdccda 
cdcbdcbabbcccaadddca | cdcadcbabbcccaadddca 
dacdadcccddbdbbcbcaa | dacdadcccddadbbcbcaa 
aacdbccdbbddcbccdacad | aacdaccdbbddcbccdacad 
adbaaadabaddaccdbcbda | adaaaadabaddaccdbcbda 
adbbbbcdaacadddadcdcc | adabbbcdaacadddadcdcc 
ccbcbdddaabadcacabdad | ccacbdddaabadcacabdad 
ccbdddccbcccacaabcbda | ccadddccbcccacaabcbda 
cccaccabbbcadadacdbca | cccaccaabbcadadacdbca 
dadaadccadbbcacabdcbd | dadaadccadabcacabdcbd 
dbabcdcdaaabcddbaaddd | daabcdcdaaabcddbaaddd 
dcbdbdcdbbcdcddaaaaac | dcadbdcdbbcdcddaaaaac 
dddbcbbcdcaadbaddddca | dddacbbcdcaadbaddddca 
abacddbbbdcacdcdcadada | aaacddbbbdcacdcdcadada 
abbdbcdacadaadccdcaabc | aabdbcdacadaadccdcaabc 
bbadcdadcccadcbadacdba | abadcdadcccadcbadacdba 
bdcabcdabdbdddcdadadda | adcabcdabdbdddcdadadda 
cabacabdaadcdbaabaaaac | caaacabdaadcdbaabaaaac 
cacaabacaabcbcaddcdbaa | cacaaaacaabcbcaddcdbaa 
cbacdcdddacaabaccbbcac | caacdcdddacaabaccbbcac 
cbbccdaadaadcdbdbddddd | cabccdaadaadcdbdbddddd 
ccabaadbadddcccdbcccbd | ccaaaadbadddcccdbcccbd 
dcdbacddccadacbbbdcdca | dcdaacddccadacbbbdcdca 
abbaddcccdccbdbadddddda | aabaddcccdccbdbadddddda 
bcddabbaaaddbcdccdaaacd | acddabbaaaddbcdccdaaacd 
dabbdccccaccdcccdcdabba | daabdccccaccdcccdcdabba 
dbdcccabcacdacdbcdcbcca | dadcccabcacdacdbcdcbcca 
adcacabcdbdddcaccaabddab | adcacaacdbdddcaccaabddab 
baadbbddbcdccacddddddaac | aaadbbddbcdccacddddddaac 
bdacbdccbcbcdccaadcccaaa | adacbdccbcbcdccaadcccaaa 
cabbdbcacccdadcddcacaacb | caabdbcacccdadcddcacaacb 
cbcdaacaacdabbaccadbcdac | cacdaacaacdabbaccadbcdac 
cbdbadbadddcbdcdcaacddaa | cadbadbadddcbdcdcaacddaa 
daaaddadbbcadbcaacaabadc | daaaddadabcadbcaacaabadc 
dbbcdddbccdddacbccdadada | dabcdddbccdddacbccdadada 
dcbbdacdcbdddacbccddacaa | dcabdacdcbdddacbccddacaa 
bddcbbdbcdcddaddcaadccdac | addcbbdbcdcddaddcaadccdac 
cbcdaadcdbdcbcccdbdcacaaa | cacdaadcdbdcbcccdbdcacaaa 
ccbdbdaccdbbcadccdadccadc | ccadbdaccdbbcadccdadccadc 
ccdadacadaaaacbcbadbbcaad | ccdadacadaaaacacbadbbcaad 
cdcbcbacbcdccaccdcbdcadda | cdcacbacbcdccaccdcbdcadda 
daadadabcbabdaadccaccbccc | daadadaacbabdaadccaccbccc 
dabacacaaadcaacbbaaabcdca | daaacacaaadcaacbbaaabcdca 
abacdcabdcaddcbadacabadadd | aaacdcabdcaddcbadacabadadd 
acdabcccacdccbaadabdaabaaa | acdaacccacdccbaadabdaabaaa 
adccabadbcacdadbdcaaddcacb | adccaaadbcacdadbdcaaddcacb 
bbddcdcdadbddbdccaacaccacc | abddcdcdadbddbdccaacaccacc 
bcadadddbccaaddacacbbacaad | acadadddbccaaddacacbbacaad 
bcadcccacdbbccdacdaabccaca | acadcccacdbbccdacdaabccaca 
ccbdbcbddcbdddccdcaadacdda | ccadbcbddcbdddccdcaadacdda 
dacccdbcabaddabddadcadcdbc | dacccdacabaddabddadcadcdbc 
ddcbddbbdbcacadcaccdaaaddd | ddcaddbbdbcacadcaccdaaaddd 
ddcdbbabdbcddacddcaaaadcdc | ddcdababdbcddacddcaaaadcdc 
cabbabcbddddccdadccdaaacdca | caababcbddddccdadccdaaacdca 
caddbbbddacdacdccaccdbdddad | caddabbddacdacdccaccdbdddad 
dadbbbdaaadadaacccdcdbcdcca | dadabbdaaadadaacccdcdbcdcca 
ddccaddadcabaabaddabcadcaba | ddccaddadcaaaabaddabcadcaba 
ddccbcbccdcadaaacdcccdcdbba | ddccacbccdcadaaacdcccdcdbba 
dbbdcacabbdacdadcacdaadcdcca | dabdcacabbdacdadcacdaadcdcca 
dcbaaccddabadcdabcdaadaddacb | dcaaaccddabadcdabcdaadaddacb 
acaacdccdcabacbbddadcbdcdddda | acaacdccdcaaacbbddadcbdcdddda 
acabcdbccbbdccacaaadaaddaaccc | acaacdbccbbdccacaaadaaddaaccc 
adbdccdcbdbdaccdcbadcdddddaac | adadccdcbdbdaccdcbadcdddddaac 
bbdbcbddccdaaaaacadacdadcddad | abdbcbddccdaaaaacadacdadcddad 
bbdcbccdddbdacddadadddcccacad | abdcbccdddbdacddadadddcccacad 
bbddddbcacdcdcdcbccacccaccdca | abddddbcacdcdcdcbccacccaccdca 
bccdbddbbccdccacddaddaccccdda | accdbddbbccdccacddaddaccccdda 
cacdadaddcccabdbdccccbddaabdd | cacdadaddcccaadbdccccbddaabdd 
ccbdaaaddcdcbddcdbdccdabaaaaa | ccadaaaddcdcbddcdbdccdabaaaaa 
cccdcbcdadabccbdbdcddaaacaddd | cccdcacdadabccbdbdcddaaacaddd 
bacbdaaadccdcbcccbacaaaaaacaaa | aacbdaaadccdcbcccbacaaaaaacaaa 
cadcaccdbacbbbdddadcacdadaadcd | cadcaccdaacbbbdddadcacdadaadcd 
cbccbddabddcadddccdcbdcadcdcac | caccbddabddcadddccdcbdcadcdcac 
abadacaaadcccadacaabdbbccaacddd | aaadacaaadcccadacaabdbbccaacddd 
bcdcdccccbbcdbddccdcdadadcaaaaa | acdcdccccbbcdbddccdcdadadcaaaaa 
ddaaddbdcadbbddadacdcadcddaddcb | ddaaddadcadbbddadacdcadcddaddcb 
adaaabdaabdbdcadacadcdcccccbdccc | adaaaadaabdbdcadacadcdcccccbdccc 
dccbddcdadddabbdccaacabddddcacca | dccaddcdadddabbdccaacabddddcacca 
acdadcddcdbdcbabdcadcdadcadabaddc | acdadcddcdadcbabdcadcdadcadabaddc 
baaaaadabdcccdcaaaaaddcdacbaaaccb | aaaaaadabdcccdcaaaaaddcdacbaaaccb 
bcacbbccbcddddacadcccddaccdcaacca | acacbbccbcddddacadcccddaccdcaacca 
cbdddcaadadacacbcdcccadbcdaaabddd | cadddcaadadacacbcdcccadbcdaaabddd 
cbdbcdccdbcadacdacdccdacadcdcdaacabd | cadbcdccdbcadacdacdccdacadcdcdaacabd 
cbacbcdbcddbdcddccccddadaddcdccadaacd | caacbcdbcddbdcddccccddadaddcdccadaacd 
cacdadbdaabdccbddaadbcddcccdadaddccacc | cacdadadaabdccbddaadbcddcccdadaddccacc 
dddbaccddacaacdacadcccbcbdbcdaccdccccdcd | dddaaccddacaacdacadcccbcbdbcdaccdccccdcd 
cdddbcdcddcadadccadcabaaaaccbdcdcadcddaddcabda | cdddacdcddcadadccadcabaaaaccbdcdcadcddaddcabda 
