dbaaadcabaaada | daaaadcabaaada 
ccdbaababdadbadcbdbdcdbbccccbbcbcababa | ccdaaababdadbadcbdbdcdbbccccbbcbcababa 
ccdbadcdcacccaaacbaccbbddccbdbdccabbda | ccdaadcdcacccaaacbaccbbddccbdbdccabbda 
dabbccdcbccddacababdcdbbdcddaacaabbcdb | daabccdcbccddacababdcdbbdcddaacaabbcdb 
dacbbacbbabcaddddbabaadbbdbdacddbcdbbd | dacabacbbabcaddddbabaadbbdbdacddbcdbbd 
dcadaddbaaaccacdddddccabdcbdadbddbddcb | dcadaddaaaaccacdddddccabdcbdadbddbddcb 
acdcdcdddccbcdddddacaaacdcbaaddccbdbacb | acdcdcdddccacdddddacaaacdcbaaddccbdbacb 
bdddababcadbbcabdabccbcdbbccdbdcccdbaaa | adddababcadbbcabdabccbcdbbccdbdcccdbaaa 
cacbbdcbaddbbcabcbcbdababccadcbcdcbdada | cacabdcbaddbbcabcbcbdababccadcbcdcbdada 
cbaacdacaccdcdbdbbabdbcbbdacdacbccbcabc | caaacdacaccdcdbdbbabdbcbbdacdacbccbcabc 
ccabcbbbcdadbabddbbcabcababaabcddcccbdb | ccaacbbbcdadbabddbbcabcababaabcddcccbdb 
cddccbacdabcddbcabaaabbcbcaaccbcbcdbbcd | cddccaacdabcddbcabaaabbcbcaaccbcbcdbbcd 
dddadabcabccddddcbcadddddabbcdddaadacbb | dddadaacabccddddcbcadddddabbcdddaadacbb 
abddaacbcdccbbbbbcaadaddcdcdacabccdddbbd | aaddaacbcdccbbbbbcaadaddcdcdacabccdddbbd 
accbbcbacbcdcdccbcabccacdacadcdcbdacdbca | accabcbacbcdcdccbcabccacdacadcdcbdacdbca 
addbddacddadbbacccabbbacaddbbdaccddccdcb | addaddacddadbbacccabbbacaddbbdaccddccdcb 
bcdccdcbacababddadddbbcbaacddcadcdcaccdb | acdccdcbacababddadddbbcbaacddcadcdcaccdb 
cdbdbcddbacabdcadccbdcadadaabbaddbdbcddc | cdadbcddbacabdcadccbdcadadaabbaddbdbcddc 
cddbbdcbcbdcbadadbacaacabbbabbbdacdbbbbb | cddabdcbcbdcbadadbacaacabbbabbbdacdbbbbb 
cddbcabcbbddcdacbacbaddadcbbbddaacabdcdc | cddacabcbbddcdacbacbaddadcbbbddaacabdcdc 
dabdbacbacbccccbdadadbbdcdbcdbddabdabadd | daadbacbacbccccbdadadbbdcdbcdbddabdabadd 
dbccdbabcaadabccccabbddabcbdbbbdbcdacdda | daccdbabcaadabccccabbddabcbdbbbdbcdacdda 
abbaddacdbbbbdddccbdacaacdddadadcbccddbdd | aabaddacdbbbbdddccbdacaacdddadadcbccddbdd 
bbddcacdbababbdcdbcbbcbadcbbddbbccaacaacb | abddcacdbababbdcdbcbbcbadcbbddbbccaacaacb 
bcdccbdacdcdbdaaadbbacdcbdacccbcddbabcdca | acdccbdacdcdbdaaadbbacdcbdacccbcddbabcdca 
cccacbdcabcbbbcdaaddcbabddaaacdcbbdcdcbcbc | cccacadcabcbbbcdaaddcbabddaaacdcbbdcdcbcbc 
bccdacdcaccbdcbbadbcdcdadcdacadcccdaaccbbbb | accdacdcaccbdcbbadbcdcdadcdacadcccdaaccbbbb 
bdccaddbdbbcdabccadbbcbbacdabcbcbbcaaadcdbb | adccaddbdbbcdabccadbbcbbacdabcbcbbcaaadcdbb 
cbbbbadbaccbbbbdbcaadaccdbabcddcdacccdcdacc | cabbbadbaccbbbbdbcaadaccdbabcddcdacccdcdacc 
ccddcccbbcabaacbcbabacccbdacbbcbcdbaccabddb | ccddcccabcabaacbcbabacccbdacbbcbcdbaccabddb 
bacddabccbbcddbadcdacbacdbcbcaadbdbcdbacbddc | aacddabccbbcddbadcdacbacdbcbcaadbdbcdbacbddc 
bcaddcdabbadbadccbacdaaccbccdcbcbbcacddbbdbb | acaddcdabbadbadccbacdaaccbccdcbcbbcacddbbdbb 
cbaadbcccadcdabbccddacdacdddbcbdabbdbcdbabdc | caaadbcccadcdabbccddacdacdddbcbdabbdbcdbabdc 
dadcadacdaccdcbccbdcddcaacdbbbcbdcdbbabddabc | dadcadacdaccdcaccbdcddcaacdbbbcbdcdbbabddabc 
dbbbabadccbbddbdacdcddbabbcdbdcaacdaccbdacbd | dabbabadccbbddbdacdcddbabbcdbdcaacdaccbdacbd 
dbddabdcccbacdbcbacbbaaacdbddddcadcbddadccbc | daddabdcccbacdbcbacbbaaacdbddddcadcbddadccbc 
adabddbdbbbacabccbdbdcddddacbbccccccacdbabadd | adaaddbdbbbacabccbdbdcddddacbbccccccacdbabadd 
bcdaddbcabaddbbcbbddbbabcaacbbcbdbbdbcadabbbc | acdaddbcabaddbbcbbddbbabcaacbbcbdbbdbcadabbbc 
cbbcdadadadbadabbddbcadcccdddbccbdbccbbbcacba | cabcdadadadbadabbddbcadcccdddbccbdbccbbbcacba 
ccdccddbcbabbabaddcdcdcccadddddaadccdbabcbcba | ccdccddacbabbabaddcdcdcccadddddaadccdbabcbcba 
cdbddcccbbdadbadbdbbacccbcdcadccbbaacbcbccaad | cdaddcccbbdadbadbdbbacccbcdcadccbbaacbcbccaad 
acdabbcddbcccbbdbbdbadbccabcccadccdadcbcabbadb | acdaabcddbcccbbdbbdbadbccabcccadccdadcbcabbadb 
cdccbbcadcbbbbbacdddccbadaddaddabbdbdbcbbabbad | cdccabcadcbbbbbacdddccbadaddaddabbdbdbcbbabbad 
dadcbdacdbbbdbdbabadccdbbcdcacddacbcdbacbddcab | dadcadacdbbbdbdbabadccdbbcdcacddacbcdbacbddcab 
abccbddacabccbcabcadcccabbdddbdcccadbbadccbcddb | aaccbddacabccbcabcadcccabbdddbdcccadbbadccbcddb 
dacbaaddbbcccccdddbabaadcadccdcbddcddbcbdbcdabc | dacaaaddbbcccccdddbabaadcadccdcbddcddbcbdbcdabc 
bdaccacbcbacbccbcbcabcadbbbbddcddbbbaaccbbaccccb | adaccacbcbacbccbcbcabcadbbbbddcddbbbaaccbbaccccb 
babdcdacabbbbdddabcbabdccbbdaabbbcdddccbbcbabbbcd | aabdcdacabbbbdddabcbabdccbbdaabbbcdddccbbcbabbbcd 
badbacadcbbddcbbbbbdadccbaccabdbddcccadbddcadcccc | aadbacadcbbddcbbbbbdadccbaccabdbddcccadbddcadcccc 
dbcabbadcbbcbaddbbdcdbdcbbdddaaadbdcbbabbbcdbcbac | dacabbadcbbcbaddbbdcdbdcbbdddaaadbdcbbabbbcdbcbac 
dcbdcabbcdbbabcdcdbaaabbbccddbccdaadbbccdabdddcdc | dcadcabbcdbbabcdcdbaaabbbccddbccdaadbbccdabdddcdc 
bcaddadcddcabbdaaddcdcbacccbdcccdcddcdcdbddcacbdac | acaddadcddcabbdaaddcdcbacccbdcccdcddcdcdbddcacbdac 
abacdbcbcadbcbcbbcbbdccbbabcacbddadddcacddabbddccdb | aaacdbcbcadbcbcbbcbbdccbbabcacbddadddcacddabbddccdb 
abdbcdacccaadcdccddddbbcabcbcbdcddcddddbaabcbdadcdcc | aadbcdacccaadcdccddddbbcabcbcbdcddcddddbaabcbdadcdcc 
bdbcdaadbdbcccdaccbdbbcdabcbbbbcdbbccabccbddddcccaaa | adbcdaadbdbcccdaccbdbbcdabcbbbbcdbbccabccbddddcccaaa 
bbabcccddacdcbbdacbbdbbddbbdddbabbcbcadabdcaddccdbbbca | ababcccddacdcbbdacbbdbbddbbdddbabbcbcadabdcaddccdbbbca 
cbdbbbbacbcbbacdddbdadcadcbddddbccbcabdbdcddbbadddbaad | cadbbbbacbcbbacdddbdadcadcbddddbccbcabdbdcddbbadddbaad 
ddcaccdccdbdccbadbdddacdbbddacbabbddaacbccbcabccdbbddbd | ddcaccdccdadccbadbdddacdbbddacbabbddaacbccbcabccdbbddbd 
bcdbccacbadccddcdbdbddccccbccddcaccacbcdcadbddbbdddcaabbcdbca | acdbccacbadccddcdbdbddccccbccddcaccacbcdcadbddbbdddcaabbcdbca 
dddadcdccdadaddadbdbbabddacbcbcbdbdbcbdbdbcdbccccddbcaccccabd | dddadcdccdadaddadadbbabddacbcbcbdbdbcbdbdbcdbccccddbcaccccabd 
bbcbdcdbcabbacaddcadbdcbaccbccbadddccababdcbbcccbdbbcbddcbcbcbc | abcbdcdbcabbacaddcadbdcbaccbccbadddccababdcbbcccbdbbcbddcbcbcbc 
ccddccbbbbdccbbccacdbbdcadbbddaddccbbaacbbcbddbddcdcbacbccbabbcadcdb | ccddccabbbdccbbccacdbbdcadbbddaddccbbaacbbcbddbddcdcbacbccbabbcadcdb 
bdcbccadacbbbcbdcdadbccbbcdddcbccbbdbcbcbbbbbbdbbbdddaaabdcbadcdbbadd | adcbccadacbbbcbdcdadbccbbcdddcbccbbdbcbcbbbbbbdbbbdddaaabdcbadcdbbadd 
bdbdbadccccdadbbbdbcdcdbacbdbccaccdcccdbabcdbcdddddddbddcdcbbbacdcdcbdccbacdbdca | adbdbadccccdadbbbdbcdcdbacbdbccaccdcccdbabcdbcdddddddbddcdcbbbacdcdcbdccbacdbdca 
