bbabdbccaccaaa | ababdbccaccaaa 
bbbdcddbadcadcccccdddcacda | abbdcddbadcadcccccdddcacda 
bcaadddabdbbacdcccacccaadd | acaadddabdbbacdcccacccaadd 
bcbbddcccbaadccddacddccaaa | acbbddcccbaadccddacddccaaa 
cabdddcabadddccbddbaccdaaa | caadddcabadddccbddbaccdaaa 
ccabaccdbabbdacadaaddcdcca | ccaaaccdbabbdacadaaddcdcca 
dadbdcbcaaabbcadccadddcdaa | dadadcbcaaabbcadccadddcdaa 
dccadbaabcdcbbddaacadddacc | dccadaaabcdcbbddaacadddacc 
aaccddddcbabbabccccaacaacda | aaccddddcaabbabccccaacaacda 
abcccdbddccbccaabacdaadcdaa | aacccdbddccbccaabacdaadcdaa 
bbcdaccdbaadabcaadcdadcdcda | abcdaccdbaadabcaadcdadcdcda 
cdcdbbcbccadddcdccdcadbaaaa | cdcdabcbccadddcdccdcadbaaaa 
ddcacbdcbbacccdacbadacaacca | ddcacadcbbacccdacbadacaacca 
abdddbadddbcbdaadcdaccdccdda | aadddbadddbcbdaadcdaccdccdda 
accdbdacbbadbcadaccdcccaaccd | accdadacbbadbcadaccdcccaaccd 
cabbcccaabdaaabccaccccaaccca | caabcccaabdaaabccaccccaaccca 
dabbaccdbcbddacaacdddcddcdac | daabaccdbcbddacaacdddcddcdac 
dbbbdaccccbdcaccacaddccccdac | dabbdaccccbdcaccacaddccccdac 
ddbbcacbcddcabccaadcddaccacd | ddabcacbcddcabccaadcddaccacd 
accbaddabcdbdcbaddcdccacdadca | accaaddabcdbdcbaddcdccacdadca 
acccdbcccbcbcabdccaaddaddddaa | acccdacccbcbcabdccaaddaddddaa 
addcabadaccadaaabbdbaadaadadc | addcaaadaccadaaabbdbaadaadadc 
caaacbabcbdadbcddddadadddddaa | caaacaabcbdadbcddddadadddddaa 
caaacdbdaabdccbabaaddcadddcac | caaacdadaabdccbabaaddcadddcac 
caababccddacdcccbcbaadacaadaa | caaaabccddacdcccbcbaadacaadaa 
cdcddadcdcacbabbbdacaddcdaacd | cdcddadcdcacaabbbdacaddcdaacd 
dadacdcaaaabcadbbdbddaaacaada | dadacdcaaaaacadbbdbddaaacaada 
dcdccbbdcbcbacdddddddadcdcada | dcdccabdcbcbacdddddddadcdcada 
ddbdcabcdcbddcadabcaddadaadcc | ddadcabcdcbddcadabcaddadaadcc 
babaccbbcdccccaccdddadcdccccaa | aabaccbbcdccccaccdddadcdccccaa 
badcabacdddcdbacdabcaadacdacaa | aadcabacdddcdbacdabcaadacdacaa 
bbbcabccadddcdcccccacdaadcdcca | abbcabccadddcdcccccacdaadcdcca 
bcabadabdaaadcccccdcbdadaaccaa | acabadabdaaadcccccdcbdadaaccaa 
cabcbaddccdaacccbcbaacaccdccac | caacbaddccdaacccbcbaacaccdccac 
cdbbcdccadbabaaaccccdcaddacdaa | cdabcdccadbabaaaccccdcaddacdaa 
cdcacbcabdbdbadcdaddccddcccaca | cdcacacabdbdbadcdaddccddcccaca 
cdcbdcdcbabbccccdcddddacdadcaa | cdcadcdcbabbccccdcddddacdadcaa 
cddcdadabdcbabbaadccddcdaccdad | cddcdadaadcbabbaadccddcdaccdad 
dacaacbcaaddbaadacbcdcdcbaacaa | dacaacacaaddbaadacbcdcdcbaacaa 
daccbacaaadaaddcdcabdadbbadaaa | daccaacaaadaaddcdcabdadbbadaaa 
dbcccccddadbaabdbaadcccdaaccca | dacccccddadbaabdbaadcccdaaccca 
ddacccddcdabcbdbdadddbadcacaaa | ddacccddcdaacbdbdadddbadcacaaa 
abaddbdabcaccadbadaacdacaadcadc | aaaddbdabcaccadbadaacdacaadcadc 
bcacbaccbdacddcaabdadcdadcaaddd | acacbaccbdacddcaabdadcdadcaaddd 
bdddbdccdcdbaaadaaccaaabacaaaaa | adddbdccdcdbaaadaaccaaabacaaaaa 
cabcbbcadaccdbdddcaddacccaccadd | caacbbcadaccdbdddcaddacccaccadd 
cbdcddacdbbcdcadbcdccaadccccdaa | cadcddacdbbcdcadbcdccaadccccdaa 
ccabbddccaababdacddacddacacadaa | ccaabddccaababdacddacddacacadaa 
ccbbaaacccddcbcadaddbcaddacaaca | ccabaaacccddcbcadaddbcaddacaaca 
dbababadacdcdaadcaabaadccdaacca | daababadacdcdaadcaabaadccdaacca 
dbdadaccaaddbcabaaabcacdccaaacd | dadadaccaaddbcabaaabcacdccaaacd 
dccbdbdccdadaabdcbacdddccccacaa | dccadbdccdadaabdcbacdddccccacaa 
dcccaadabadacbcdcadbcaabcaadaaa | dcccaadaaadacbcdcadbcaabcaadaaa 
abbcdddacabddbccdddacaccdaadcccd | aabcdddacabddbccdddacaccdaadcccd 
adcadaaabbccbddaabdacaccdddcdaca | adcadaaaabccbddaabdacaccdddcdaca 
addbbacbdccbcdddaddadcacccaadcda | addabacbdccbcdddaddadcacccaadcda 
ccbcaabcbaccbcdacdacdcdcacddadad | ccacaabcbaccbcdacdacdcdcacddadad 
cdbdbbbdacadcdcaccdadacadcacddcc | cdadbbbdacadcdcaccdadacadcacddcc 
dadaaadacdbcdbcdbbddcdaddcadacda | dadaaadacdacdbcdbbddcdaddcadacda 
dbcaccdbddaacabdbccccdccccaadcaa | dacaccdbddaacabdbccccdccccaadcaa 
dcaccdbabbdadcbdddcaccdaadadddcd | dcaccdaabbdadcbdddcaccdaadadddcd 
badcaddbddcdddcadacbbcdddaadaddca | aadcaddbddcdddcadacbbcdddaadaddca 
cadabaaacdabadaabadcadaaacbaadaca | cadaaaaacdabadaabadcadaaacbaadaca 
ccabcaadcaddddabaabbcdaadddadadcd | ccaacaadcaddddabaabbcdaadddadadcd 
dabdadbbcdbcdacdcddddccdaddadaccd | daadadbbcdbcdacdcddddccdaddadaccd 
dcabadcccabbdddaccbccacdaccdcadda | dcaaadcccabbdddaccbccacdaccdcadda 
dddaccbdbbaaabccacddcdcdcdaaccdac | dddaccadbbaaabccacddcdcdcdaaccdac 
acadaccabcdbbabcccdaaaaadacaddcddc | acadaccaacdbbabcccdaaaaadacaddcddc 
adcccdcaacadbacdadccbcbbcadacdacda | adcccdcaacadaacdadccbcbbcadacdacda 
badcacabcacbacccbdccddadadcccdddaa | aadcacabcacbacccbdccddadadcccdddaa 
cabcabbdadacdcacdcbcdcaaacadddccca | caacabbdadacdcacdcbcdcaaacadddccca 
daddadbdddaaacadbbacaabadadadccdac | daddadadddaaacadbbacaabadadadccdac 
dbdcddadaaaddacabbbadadacccadccaaa | dadcddadaaaddacabbbadadacccadccaaa 
ddbcbccadabacbddccdddaaacaccaddaaa | ddacbccadabacbddccdddaaacaccaddaaa 
acdbbaccdccdacacbdddbcaaadddddcacac | acdabaccdccdacacbdddbcaaadddddcacac 
bdcacdcccdcbdbacadaaddabacdaaddcada | adcacdcccdcbdbacadaaddabacdaaddcada 
caadbadcacbdddbbdccaddcccaddddcacca | caadaadcacbdddbbdccaddcccaddddcacca 
dadcdbdbccacbddccbdcdaaaddcadcacdcc | dadcdadbccacbddccbdcdaaaddcadcacdcc 
dbaabcdbdacdccdabcaccdcccdddcaaaadc | daaabcdbdacdccdabcaccdcccdddcaaaadc 
ccdbbdbcbdcddacdcaddddadcdcdccaddccc | ccdabdbcbdcddacdcaddddadcdcdccaddccc 
cdddbbaaaaaacbddacddacdadcadabadcaaa | cdddabaaaaaacbddacddacdadcadabadcaaa 
abadacbddbacbcddcddcaadaadcaadadcccdcc | aaadacbddbacbcddcddcaadaadcaadadcccdcc 
abcdaadcdbdacdbccaaccaabcaacdcacdccacc | aacdaadcdbdacdbccaaccaabcaacdcacdccacc 
abdabcabdacaddddddacccdbcdcaccaddcccaa | aadabcabdacaddddddacccdbcdcaccaddcccaa 
acacaccdcbacdccacbdbbdadcaccdddadcdaad | acacaccdcaacdccacbdbbdadcaccdddadcdaad 
cacbaacbdbccdddbdcddaadcdadaaacccdccdd | cacaaacbdbccdddbdcddaadcdadaaacccdccdd 
adacccbaabdbcaadcacdccaabadcacdccadadcc | adacccaaabdbcaadcacdccaabadcacdccadadcc 
dbcdbaacdcccadaadaacdabbcacdacaacaaacaa | dacdbaacdcccadaadaacdabbcacdacaacaaacaa 
bcdcdbdccdcacdaacdabbdacdccccdddaccdaacc | acdcdbdccdcacdaacdabbdacdccccdddaccdaacc 
ccdbdbcabbccdaddcdacdcccdcddcddacddcacdd | ccdadbcabbccdaddcdacdcccdcddcddacddcacdd 
cddbcdcadbcdaacaaaadddbbcadccdcccadadadc | cddacdcadbcdaacaaaadddbbcadccdcccadadadc 
dcbbcddbccdabddaadcccddcddcdcdaddcdaccdd | dcabcddbccdabddaadcccddcddcdcdaddcdaccdd 
acaadaddaaadbdacabacaddabdcdbcadadccdcaad | acaadaddaaadadacabacaddabdcdbcadadccdcaad 
accdddadccaadbdabdbccaaabcacadcadcaddcddc | accdddadccaadadabdbccaaabcacadcadcaddcddc 
bcacbcdcaccccdddaccbadbccaadcdddaadddacdc | acacbcdcaccccdddaccbadbccaadcdddaadddacdc 
cccadadacbcbdcdaddbcbcaddcddcaacadacadcad | cccadadacacbdcdaddbcbcaddcddcaacadacadcad 
ddcbccdaaaacbabaaddddcacddbcadddacddaacdc | ddcaccdaaaacbabaaddddcacddbcadddacddaacdc 
adaadabccbdcacabcabdcccaaadcaacdddcaaddcad | adaadaaccbdcacabcabdcccaaadcaacdddcaaddcad 
caadacdcbaacacccbaabdaccbacacccccaadadcddc | caadacdcaaacacccbaabdaccbacacccccaadadcddc 
daaaccdcadcacbdccacccdbddabaacdbacaadccada | daaaccdcadcacadccacccdbddabaacdbacaadccada 
dbcbabddbaccaccccccacdddcdcdccdcddcddaccad | dacbabddbaccaccccccacdddcdcdccdcddcddaccad 
ddcacdcbddccbcddcdaabdddadcdcbddddcaacdaca | ddcacdcaddccbcddcdaabdddadcdcbddddcaacdaca 
bacabacdcadadabcdaabccaddddaacdddaacadcddaa | aacabacdcadadabcdaabccaddddaacdddaacadcddaa 
acbdaddcabddaabbdcdddccccacacddcccacaadcdcac | acadaddcabddaabbdcdddccccacacddcccacaadcdcac 
caacccadcdccdcbacbadccadbabcddaaccaccccaadaa | caacccadcdccdcaacbadccadbabcddaaccaccccaadaa 
ccdaaaddadddadcddbbdbcddddbacadaccdccccaaaca | ccdaaaddadddadcddabdbcddddbacadaccdccccaaaca 
dccadacadbaaabadccdddddaccbcdcacdcbaadacaacc | dccadacadaaaabadccdddddaccbcdcacdcbaadacaacc 
acdcbbbaaadcbaddddddaadacccdacdccccaaccacddca | acdcabbaaadcbaddddddaadacccdacdccccaaccacddca 
caccccdcaabbabaaaaadddaaaacbacaacadadacaddaad | caccccdcaaababaaaaadddaaaacbacaacadadacaddaad 
baaccccdbcbadcdaacdcbcdcccadcdcaddadddcdcacccc | aaaccccdbcbadcdaacdcbcdcccadcdcaddadddcdcacccc 
ccaacadadccbdaadaaaccdbbdbcacddcddcaaaaccdcccda | ccaacadadccadaadaaaccdbbdbcacddcddcaaaaccdcccda 
cccdbadbcabccaabcaccdccccddadacdcccdcddcccdaadcc | cccdaadbcabccaabcaccdccccddadacdcccdcddcccdaadcc 
dbaddbacddaaaddaddccacddbadcddcdaabcdcdcaadacdad | daaddbacddaaaddaddccacddbadcddcdaabcdcdcaadacdad 
adbdadddbddaadacdcdcbcabcddaddadcadaddcadadcadcadd | adadadddbddaadacdcdcbcabcddaddadcadaddcadadcadcadd 
dbbdaaaabcabddcdcccddccdddcccadacdaccdccdaacdcdadc | dabdaaaabcabddcdcccddccdddcccadacdaccdccdaacdcdadc 
cdadddbdabbcdccdddccccadbdadaaaaddcaacdcdcaccdcdada | cdadddadabbcdccdddccccadbdadaaaaddcaacdcdcaccdcdada 
caadaabadadcbdcccddadcaacacdbcddddbdcdccadaacccdcdaa | caadaaaadadcbdcccddadcaacacdbcddddbdcdccadaacccdcdaa 
cccdaddacccaaaacbacaadcadacabddddadcbadbdacccdaacaccc | cccdaddacccaaaacaacaadcadacabddddadcbadbdacccdaacaccc 
aaaadbcddaccdcbacadbbdccdccdccaadcdadaadaacaddcdcaccaccaac | aaaadacddaccdcbacadbbdccdccdccaadcdadaadaacaddcdcaccaccaac 
caddcbaadaddadcaadaabcdadadddddcdccdabdddabdaccccacdcccacda | caddcaaadaddadcaadaabcdadadddddcdccdabdddabdaccccacdcccacda 
cdcddabddaadadacdddcaddabcdcaddcdcadadaddbbacccacdddcdddddacdac | cdcddaaddaadadacdddcaddabcdcaddcdcadadaddbbacccacdddcdddddacdac 
