bbbb | bbba 
daaaaddcd | daaabddcd 
dccaaaadd | dccaaabdd 
ddcddaaaa | ddcddaaab 
cddbbbbddd | cddbbbaddd 
dccbbbbccc | dccbbbaccc 
dcdbbbbccc | dcdbbbaccc 
ddbbbbdddd | ddbbbadddd 
ccdcdcaaaa | ccdcdcaaab 
cdddccaaaa | cdddccaaab 
ddcccaaaac | ddcccaaabc 
bbbbdccdccd | bbbadccdccd 
bbbbddcdddc | bbbaddcdddc 
cdbbbbdddcd | cdbbbadddcd 
dbbbbddcccc | dbbbaddcccc 
dddccccbbbb | dddccccbbba 
cdcdcccbbbbd | cdcdcccbbbad 
dccdcdbbbbcd | dccdcdbbbacd 
ccdccaaaaccd | ccdccaaabccd 
cdaaaadcccdc | cdaaabdcccdc 
daaaadccdddc | daaabdccdddc 
bbbbccccdccdd | bbbaccccdccdd 
cdcdbbbbdcccd | cdcdbbbadcccd 
cdcddcccbbbbd | cdcddcccbbbad 
cddcbbbbccccd | cddcbbbaccccd 
cdddccdbbbbdd | cdddccdbbbadd 
dcdccccddbbbb | dcdccccddbbba 
ddddbbbbccdcd | ddddbbbaccdcd 
dcddcdddaaaad | dcddcdddaaabd 
ddcdaaaadcccc | ddcdaaabdcccc 
bbbbcdddcdddcc | bbbacdddcdddcc 
dccddccbbbbdcd | dccddccbbbadcd 
dddcdbbbbcdcdd | dddcdbbbacdcdd 
ddcaaaadcdddcc | ddcaaabdcdddcc 
ccdddccbbbbdccc | ccdddccbbbadccc 
ccdccccccaaaadd | ccdccccccaaabdd 
ccccccddaaaadccc | ccccccddaaabdccc 
ddddddcdccdcaaaa | ddddddcdccdcaaab 
ccdccccddcdcbbbbd | ccdccccddcdcbbbad 
ccddddcdaaaaccccc | ccddddcdaaabccccc 
dcdcaaaacddddddcd | dcdcaaabcddddddcd 
bbbbdccccddcccccdd | bbbadccccddcccccdd 
dcdddccaaaacccdcdd | dcdddccaaabcccdcdd 
ddddddaaaacddcdcdd | ddddddaaabcddcdcdd 
cbbbbdccccccdddcdcd | cbbbadccccccdddcdcd 
cdcdcdccddcddcdbbbbcdd | cdcdcdccddcddcdbbbacdd 
cccbbbbcdddcccdddddcdccddcddc | cccbbbacdddcccdddddcdccddcddc 
